                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.3539,                 9.0829,                0.66322,                 1.0692,                 1.2641,                0.30735,                0.28571,                0.26841,                0.11387,                      0,                      0,                      0,                      0,                 2.3295,                 10.852,                0.67613,                 2.4817,                 2.0481,             0.00049907,             0.00049907,             0.00049907
                     58,                 1.6939,                 9.1909,                0.69788,                 1.3146,                 1.3375,                0.30735,                0.28571,                0.26841,                0.11387,                      0,                      0,                      0,                      0,                 2.3295,                 10.852,                0.67613,                 2.4817,                 2.0481,              0.0004967,              0.0004967,              0.0004967
                     59,                 1.2779,                 9.4446,                0.72136,                0.98231,                 1.1687,                0.30735,                0.28571,                0.26841,                0.11387,                      0,                      0,                      0,                      0,                 2.3295,                 10.852,                0.67613,                 2.4817,                 2.0481,             0.00049393,             0.00049393,             0.00049393
                     60,                  1.061,                 8.5564,                0.66887,                 1.0589,                 1.1808,                0.34651,                0.28571,                0.26242,                0.10493,                      0,                      0,                      0,                      0,                 2.4223,                  10.85,                0.67568,                 2.3882,                 2.0818,             0.00049076,             0.00049076,             0.00049076
                     61,                  1.241,                 9.0748,                0.71015,                0.86785,                 1.3295,                0.34651,                0.28571,                0.26242,                0.10493,                      0,                      0,                      0,                      0,                 2.4223,                  10.85,                0.67568,                 2.3882,                 2.0818,              0.0004872,              0.0004872,              0.0004872
                     62,                 1.0638,                 7.8276,                0.64225,                0.87228,                 1.1172,                0.34651,                0.28571,                0.26242,                0.10493,                      0,                      0,                      0,                      0,                 2.4223,                  10.85,                0.67568,                 2.3882,                 2.0818,             0.00048324,             0.00048324,             0.00048324
                     63,                 1.0794,                 9.4248,                0.65028,                 0.9641,                 1.1327,                0.40226,                0.28571,                 0.2481,                0.09577,                      0,                      0,                      0,                      0,                 2.5004,                 10.856,                0.67545,                 2.3659,                 2.1137,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.3283,                  8.782,                0.62067,                0.97418,                 1.4672,                0.40226,                0.28571,                 0.2481,                0.09577,                      0,                      0,                      0,                      0,                 2.5004,                 10.856,                0.67545,                 2.3659,                 2.1137,             0.00047414,             0.00047414,             0.00047414
                     65,                 1.0051,                 8.0651,                0.70016,                0.94863,                 1.1106,                0.40226,                0.28571,                 0.2481,                0.09577,                      0,                      0,                      0,                      0,                 2.5004,                 10.856,                0.67545,                 2.3659,                 2.1137,             0.00046899,             0.00046899,             0.00046899
                     66,                  1.803,                 9.4948,                0.68829,                 1.4545,                 1.4357,                  0.322,                0.35714,                0.25051,                0.08247,                      0,                      0,                      0,                      0,                 2.5514,                 10.937,                0.67574,                 2.3512,                 2.1619,             0.00046345,             0.00046345,             0.00046345
                     67,                 1.4465,                 8.5777,                0.65051,                0.91673,                 1.1936,                  0.322,                0.35714,                0.25051,                0.08247,                      0,                      0,                      0,                      0,                 2.5514,                 10.937,                0.67574,                 2.3512,                 2.1619,             0.00045751,             0.00045751,             0.00045751
                     68,                 1.2919,                  9.103,                0.68731,                 1.1775,                 1.1946,                  0.322,                0.35714,                0.25051,                0.08247,                      0,                      0,                      0,                      0,                 2.5514,                 10.937,                0.67574,                 2.3512,                 2.1619,             0.00045118,             0.00045118,             0.00045118
                     69,                  1.174,                 8.7028,                0.65343,                0.79916,                 1.1309,                0.30071,                0.35714,                0.24011,                0.07814,                      0,                      0,                      0,                      0,                 2.5778,                 10.926,                0.67724,                 2.3435,                 2.1978,             0.00044445,             0.00044445,             0.00044445
                     70,                 1.2571,                 9.3319,                 0.6629,                0.92916,                 1.1514,                0.30071,                0.35714,                0.24011,                0.07814,                      0,                      0,                      0,                      0,                 2.5778,                 10.926,                0.67724,                 2.3435,                 2.1978,             0.00043732,             0.00043732,             0.00043732
                     71,                 1.3783,                 8.5463,                0.68144,                 1.0665,                  1.288,                0.30071,                0.35714,                0.24011,                0.07814,                      0,                      0,                      0,                      0,                 2.5778,                 10.926,                0.67724,                 2.3435,                 2.1978,              0.0004298,              0.0004298,              0.0004298
                     72,                 1.4682,                 9.9008,                0.68279,                 1.0135,                 1.3258,                0.26376,                0.28571,                0.20113,                0.06918,                      0,                      0,                      0,                      0,                 2.5506,                 10.923,                 0.6767,                 2.3713,                 2.2198,             0.00042188,             0.00042188,             0.00042188
                     73,                 1.1871,                 9.3932,                 0.6519,                 0.9749,                 1.1962,                0.26376,                0.28571,                0.20113,                0.06918,                      0,                      0,                      0,                      0,                 2.5506,                 10.923,                 0.6767,                 2.3713,                 2.2198,             0.00041357,             0.00041357,             0.00041357
                     74,                 1.2606,                 9.2434,                0.68053,                 1.0015,                 1.1622,                0.26376,                0.28571,                0.20113,                0.06918,                      0,                      0,                      0,                      0,                 2.5506,                 10.923,                 0.6767,                 2.3713,                 2.2198,             0.00040486,             0.00040486,             0.00040486
                     75,                 1.2472,                 8.1558,                0.66889,                0.87875,                 1.2423,                0.29224,                0.21429,                0.18118,                0.06448,                      0,                      0,                      0,                      0,                 2.5129,                 10.901,                0.67663,                 2.3826,                 2.2033,             0.00039575,             0.00039575,             0.00039575
                     76,                0.72139,                 8.7274,                0.62077,                0.76504,                0.98257,                0.29224,                0.21429,                0.18118,                0.06448,                      0,                      0,                      0,                      0,                 2.5129,                 10.901,                0.67663,                 2.3826,                 2.2033,             0.00038625,             0.00038625,             0.00038625
                     77,                  1.107,                 8.7293,                0.65465,                 1.0155,                 1.0841,                0.29224,                0.21429,                0.18118,                0.06448,                      0,                      0,                      0,                      0,                 2.5129,                 10.901,                0.67663,                 2.3826,                 2.2033,             0.00037635,             0.00037635,             0.00037635
                     78,                 1.2021,                  8.063,                0.65046,                0.95302,                 1.1697,                0.35447,                0.21429,                0.17875,                0.06648,                      0,                      0,                      0,                      0,                 2.4793,                 10.902,                0.67653,                 2.3766,                 2.1909,             0.00036606,             0.00036606,             0.00036606
                     79,                  1.212,                 8.9897,                0.67863,                0.96368,                  1.362,                0.35447,                0.21429,                0.17875,                0.06648,                      0,                      0,                      0,                      0,                 2.4793,                 10.902,                0.67653,                 2.3766,                 2.1909,             0.00035537,             0.00035537,             0.00035537
                     80,                 1.2337,                 8.4775,                 0.6694,                0.93458,                 1.1663,                0.35447,                0.21429,                0.17875,                0.06648,                      0,                      0,                      0,                      0,                 2.4793,                 10.902,                0.67653,                 2.3766,                 2.1909,             0.00034428,             0.00034428,             0.00034428
                     81,                0.99487,                  8.544,                0.68864,                0.83197,                 1.1476,                0.35645,                0.21429,                0.19845,                0.07212,                      0,                      0,                      0,                      0,                  2.443,                 10.895,                0.67533,                 2.3657,                 2.1546,              0.0003328,              0.0003328,              0.0003328
                     82,                 1.1435,                 8.7646,                 0.6307,                0.67244,                 1.0281,                0.35645,                0.21429,                0.19845,                0.07212,                      0,                      0,                      0,                      0,                  2.443,                 10.895,                0.67533,                 2.3657,                 2.1546,             0.00032092,             0.00032092,             0.00032092
                     83,                0.83044,                 7.9522,                0.68219,                0.78504,                0.97858,                0.35645,                0.21429,                0.19845,                0.07212,                      0,                      0,                      0,                      0,                  2.443,                 10.895,                0.67533,                 2.3657,                 2.1546,             0.00030865,             0.00030865,             0.00030865
                     84,                 1.1516,                 8.3081,                0.66752,                0.89495,                  1.363,                0.40704,                0.21429,                 0.2151,                0.07626,                      0,                      0,                      0,                      0,                 2.4445,                 10.889,                0.67364,                 2.3292,                 2.1534,             0.00029598,             0.00029598,             0.00029598
                     85,                 1.3227,                  9.284,                0.67296,                 1.1168,                 1.2573,                0.40704,                0.21429,                 0.2151,                0.07626,                      0,                      0,                      0,                      0,                 2.4445,                 10.889,                0.67364,                 2.3292,                 2.1534,             0.00028291,             0.00028291,             0.00028291
                     86,                 1.2462,                 8.2096,                0.65975,                0.92213,                 1.1678,                0.40704,                0.21429,                 0.2151,                0.07626,                      0,                      0,                      0,                      0,                 2.4445,                 10.889,                0.67364,                 2.3292,                 2.1534,             0.00026945,             0.00026945,             0.00026945
                     87,                 1.0069,                 7.9879,                0.69578,                0.93856,                  1.004,                0.40704,                0.21429,                 0.2151,                0.07626,                      0,                      0,                      0,                      0,                 2.4445,                 10.889,                0.67364,                 2.3292,                 2.1534,             0.00025559,             0.00025559,             0.00025559
                     88,                 1.3053,                 8.3248,                0.65318,                0.92257,                 1.2216,                0.39585,                0.21429,                 0.2262,                0.08539,                      0,                      0,                      0,                      0,                 2.4284,                 10.899,                0.67413,                  2.297,                 2.1441,             0.00024134,             0.00024134,             0.00024134
                     89,                  1.314,                  8.798,                0.66825,                0.98199,                 1.1104,                0.39585,                0.21429,                 0.2262,                0.08539,                      0,                      0,                      0,                      0,                 2.4284,                 10.899,                0.67413,                  2.297,                 2.1441,             0.00022669,             0.00022669,             0.00022669
                     90,                 0.9126,                 8.1165,                0.70255,                0.86023,                 1.0756,                0.39585,                0.21429,                 0.2262,                0.08539,                      0,                      0,                      0,                      0,                 2.4284,                 10.899,                0.67413,                  2.297,                 2.1441,             0.00021164,             0.00021164,             0.00021164
                     91,                0.95315,                 8.3734,                0.60034,                0.73966,                  1.096,                0.39585,                0.21429,                 0.2262,                0.08539,                      0,                      0,                      0,                      0,                 2.4284,                 10.899,                0.67413,                  2.297,                 2.1441,              0.0001962,              0.0001962,              0.0001962
                     92,                0.92436,                 8.7146,                0.61975,                0.86947,                 1.0101,                0.21321,                0.42857,                0.23878,                0.08369,                      0,                      0,                      0,                      0,                 2.4157,                 10.909,                0.67352,                 2.2923,                 2.1277,             0.00018036,             0.00018036,             0.00018036
                     93,                0.71326,                 7.7913,                0.60419,                0.58722,                0.90521,                0.21321,                0.42857,                0.23878,                0.08369,                      0,                      0,                      0,                      0,                 2.4157,                 10.909,                0.67352,                 2.2923,                 2.1277,             0.00016413,             0.00016413,             0.00016413
                     94,                 1.2052,                 8.8165,                0.62306,                 0.8223,                 1.1799,                0.21321,                0.42857,                0.23878,                0.08369,                      0,                      0,                      0,                      0,                 2.4157,                 10.909,                0.67352,                 2.2923,                 2.1277,              0.0001475,              0.0001475,              0.0001475
                     95,                0.96063,                 8.4426,                0.60067,                0.76338,                  1.203,                0.21321,                0.42857,                0.23878,                0.08369,                      0,                      0,                      0,                      0,                 2.4157,                 10.909,                0.67352,                 2.2923,                 2.1277,             0.00013047,             0.00013047,             0.00013047
                     96,                0.85484,                  7.998,                0.62205,                0.64728,                 1.0148,                0.35221,                0.21429,                0.21077,                0.08352,                      0,                      0,                      0,                      0,                 2.3824,                 10.907,                0.67361,                 2.3638,                 2.1199,             0.00011305,             0.00011305,             0.00011305
                     97,                0.90275,                 8.0641,                0.61421,                0.71897,                 1.0665,                0.35221,                0.21429,                0.21077,                0.08352,                      0,                      0,                      0,                      0,                 2.3824,                 10.907,                0.67361,                 2.3638,                 2.1199,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 0.7559,                 8.3367,                0.60729,                 0.6811,                 1.0743,                0.35221,                0.21429,                0.21077,                0.08352,                      0,                      0,                      0,                      0,                 2.3824,                 10.907,                0.67361,                 2.3638,                 2.1199,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                0.92241,                 7.9872,                0.60766,                0.67444,                 1.0019,                0.35221,                0.21429,                0.21077,                0.08352,                      0,                      0,                      0,                      0,                 2.3824,                 10.907,                0.67361,                 2.3638,                 2.1199,             5.8408e-05,             5.8408e-05,             5.8408e-05
